variable,month,band,n,median,q25,q75
relative_humidity_2m,1,1,26,72.69018817204301,65.97849462365592,83.47244623655914
relative_humidity_2m,1,2,26,74.65120967741936,68.93985215053763,83.0198252688172
relative_humidity_2m,2,0,48,72.91964285714286,63.78720238095238,81.109375
relative_humidity_2m,2,1,26,74.5141369047619,64.35677083333333,85.84709821428572
relative_humidity_2m,2,2,26,72.34300595238095,65.09040178571428,81.27678571428572
relative_humidity_2m,3,0,48,71.55376344086022,64.8239247311828,77.28091397849462
relative_humidity_2m,3,1,26,76.92137096774194,70.19388440860214,79.2046370967742
relative_humidity_2m,3,2,26,73.98185483870968,67.99227150537634,80.46068548387098
relative_humidity_2m,4,0,48,75.29305555555555,64.83715277777777,79.12222222222222
relative_humidity_2m,4,1,26,78.99722222222223,67.73541666666667,85.27361111111111
relative_humidity_2m,4,2,26,80.32361111111112,69.58298611111111,85.36597222222221
relative_humidity_2m,5,0,48,81.23790322580646,77.21370967741936,85.39516129032258
relative_humidity_2m,5,1,26,84.07325268817205,81.98051075268816,86.80745967741936
relative_humidity_2m,5,2,26,85.2896505376344,81.57358870967742,87.0823252688172
relative_humidity_2m,6,0,48,81.62569444444443,77.18993055555555,86.05277777777778
relative_humidity_2m,6,1,26,86.53611111111111,79.9576388888889,89.09895833333333
relative_humidity_2m,6,2,26,86.74930555555557,86.21215277777777,88.85972222222222
relative_humidity_2m,7,0,48,81.89784946236558,76.88474462365592,87.03125
relative_humidity_2m,7,1,26,88.64852150537635,77.1747311827957,90.7006048387097
relative_humidity_2m,7,2,26,88.67338709677419,83.15120967741936,92.0030241935484
relative_humidity_2m,8,0,48,83.19153225806451,77.84475806451613,86.93380376344086
relative_humidity_2m,8,1,26,88.63978494623656,78.12432795698925,90.53629032258064
relative_humidity_2m,8,2,26,89.18951612903226,84.36626344086022,92.2600806451613
surface_pressure,1,0,48,1009.7798387096775,994.6039986559141,1012.246875
surface_pressure,1,1,26,874.9762768817204,863.2092069892474,914.3141129032259
surface_pressure,1,2,26,765.8113575268817,727.7008064516128,796.5315524193549
surface_pressure,2,0,48,1008.5146577380951,991.4402157738094,1010.6222098214286
surface_pressure,2,1,26,874.5203869047618,862.3136904761905,912.85625
surface_pressure,2,2,26,765.4737351190477,726.8126860119047,796.0840773809524
surface_pressure,3,0,48,1007.7046370967741,989.8297379032258,1009.4889112903226
surface_pressure,3,1,26,874.0548387096774,862.1741263440861,912.2589717741936
surface_pressure,3,2,26,765.9068548387097,728.4934811827957,795.5648185483872
surface_pressure,4,0,48,1005.3463888888888,987.0648611111112,1007.9055555555556
surface_pressure,4,1,26,873.4598611111112,861.8346180555554,911.4881597222222
surface_pressure,4,2,26,766.1445138888889,728.7166319444444,795.6023958333333
surface_pressure,5,0,48,1004.495497311828,987.3182123655915,1006.8341397849463
surface_pressure,5,1,26,873.2051075268816,861.7580309139785,910.5647177419354
surface_pressure,5,2,26,766.5646505376344,730.3188508064516,794.8070228494623
surface_pressure,6,0,48,1003.4036805555554,987.3303125,1007.9899305555555
surface_pressure,6,1,26,873.20375,861.0946527777777,910.6198958333334
surface_pressure,6,2,26,767.2505555555556,731.769861111111,795.099375
surface_pressure,7,0,48,1002.1954973118279,986.7538306451613,1007.5051747311829
surface_pressure,7,1,26,872.4262096774194,860.318245967742,909.8562499999999
surface_pressure,7,2,26,767.424932795699,731.9702956989247,794.7889784946237
surface_pressure,8,0,48,1002.4854838709678,987.2998319892474,1008.1243615591399
surface_pressure,8,1,26,873.0948924731183,860.7117607526882,910.6535618279571
surface_pressure,8,2,26,768.0132392473117,732.9127688172043,795.1942204301075
cloud_cover,1,0,48,49.09543010752688,17.01310483870968,63.05678763440861
cloud_cover,1,1,26,48.63104838709677,29.725470430107528,63.931451612903224
cloud_cover,1,2,26,44.51075268817204,34.75470430107527,66.05275537634408
cloud_cover,2,0,48,57.595238095238095,26.29799107142857,72.90066964285714
cloud_cover,2,1,26,56.570684523809526,39.03199404761905,75.67857142857143
cloud_cover,2,2,26,52.92782738095238,41.252604166666664,72.46019345238095
cloud_cover,3,0,48,29.663978494623656,22.631384408602152,37.785954301075265
cloud_cover,3,1,26,36.28763440860215,27.876680107526884,55.816868279569896
cloud_cover,3,2,26,43.212365591397855,36.62903225806452,70.86323924731182
cloud_cover,4,0,48,50.105555555555554,37.49097222222222,61.15347222222222
cloud_cover,4,1,26,59.69791666666667,37.67881944444445,66.2232638888889
cloud_cover,4,2,26,65.32013888888889,43.863888888888894,72.6875
cloud_cover,5,0,48,75.55645161290323,66.28494623655914,83.23521505376344
cloud_cover,5,1,26,79.47043010752688,71.86021505376344,84.02856182795699
cloud_cover,5,2,26,79.21841397849462,70.50403225806451,86.71975806451613
cloud_cover,6,0,48,84.63333333333333,78.559375,86.57499999999999
cloud_cover,6,1,26,85.37777777777777,82.27152777777778,89.05833333333334
cloud_cover,6,2,26,87.72152777777778,81.6625,89.11944444444444
cloud_cover,7,0,48,82.78494623655914,69.5554435483871,92.93245967741937
cloud_cover,7,1,26,92.88642473118279,68.74731182795699,93.89045698924731
cloud_cover,7,2,26,91.98521505376344,85.30846774193549,94.25772849462368
cloud_cover,8,0,48,85.27956989247312,83.10450268817203,89.74966397849462
cloud_cover,8,1,26,90.44354838709678,84.68245967741936,93.33131720430106
cloud_cover,8,2,26,90.90053763440861,87.50940860215053,93.20463709677419
shortwave_radiation,1,0,48,199.75,185.96370967741936,218.7274865591398
shortwave_radiation,1,1,26,195.74327956989248,184.6075268817204,215.10517473118284
shortwave_radiation,1,2,26,190.85215053763443,163.57661290322582,210.12668010752688
shortwave_radiation,2,0,48,212.46428571428572,197.3125,232.52157738095238
shortwave_radiation,2,1,26,196.43080357142856,181.38244047619048,227.29650297619048
shortwave_radiation,2,2,26,201.8772321428571,180.3125,232.85081845238096
shortwave_radiation,3,0,48,266.1135752688172,244.40658602150535,279.17405913978496
shortwave_radiation,3,1,26,265.51075268817203,227.88709677419354,269.98924731182797
shortwave_radiation,3,2,26,249.3279569892473,194.02956989247312,269.90154569892474
shortwave_radiation,4,0,48,257.5861111111111,244.43715277777778,278.20520833333336
shortwave_radiation,4,1,26,246.06666666666663,241.99166666666667,269.40451388888886
shortwave_radiation,4,2,26,245.24166666666667,226.1201388888889,275.4944444444444
shortwave_radiation,5,0,48,220.11626344086022,203.03057795698922,233.6061827956989
shortwave_radiation,5,1,26,219.78091397849465,205.8622311827957,225.28629032258064
shortwave_radiation,5,2,26,214.7694892473118,204.03158602150538,232.40591397849462
shortwave_radiation,6,0,48,211.22222222222223,192.69270833333331,230.96180555555554
shortwave_radiation,6,1,26,203.31597222222223,185.35625,227.42847222222224
shortwave_radiation,6,2,26,200.14513888888888,181.890625,220.60902777777778
shortwave_radiation,7,0,48,214.19220430107526,152.0977822580645,246.70698924731184
shortwave_radiation,7,1,26,186.19489247311827,147.95194892473117,234.13575268817203
shortwave_radiation,7,2,26,173.51008064516128,165.37331989247312,203.2970430107527
shortwave_radiation,8,0,48,201.8918010752688,172.17103494623657,231.71068548387098
shortwave_radiation,8,1,26,184.53763440860217,156.75033602150538,226.20766129032256
shortwave_radiation,8,2,26,175.14448924731184,165.42741935483872,202.7536962365591
