location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation
lk_galle,11,26.32252314814815,12.238333333333335,2.3485092592592594,85.2375,1010.0009722222222,82.59976851851852,185.293287037037
lk_galle,12,26.304928315412187,6.673655913978496,1.7691913082437276,84.4106182795699,1010.3610887096775,72.27419354838709,199.9681899641577
lk_jaffna,1,25.982325268817206,3.288172043010753,5.664520609318996,76.81205197132617,1011.2475358422939,58.728270609319,199.8228046594982
lk_jaffna,2,26.429541256157638,1.8641625615763544,5.442803092501368,73.8403718527641,1011.4915144362343,43.790016078270384,244.0489617542419
lk_jaffna,3,27.930286738351256,0.5768817204301077,4.430703405017921,74.84386200716845,1009.7979166666668,43.083109318996414,269.86111111111114
lk_jaffna,4,29.237569444444446,2.0083333333333333,4.237159722222223,76.45324074074074,1008.111875,45.19814814814814,264.5738425925926
lk_jaffna,5,29.4586917562724,2.965591397849462,6.5994601254480285,78.4681899641577,1005.6626792114695,71.7130376344086,242.65905017921148
lk_jaffna,6,29.137152777777775,1.607222222222222,7.672569444444444,77.75416666666666,1005.6413888888889,77.77777777777777,247.83888888888887
lk_jaffna,7,28.828539426523296,2.010215053763441,6.781673387096774,77.03920250896057,1005.4936379928316,83.15479390681004,228.4896953405018
lk_jaffna,8,28.482773297491036,2.1231182795698924,6.632842741935484,77.62567204301075,1006.4159722222222,80.84543010752688,242.09050179211468
lk_jaffna,9,28.359814814814815,2.3683333333333336,7.208583333333333,78.50694444444444,1006.6102777777778,75.53287037037036,237.96041666666667
lk_jaffna,10,27.664516129032254,7.197849462365592,4.8864224910394265,80.72267025089606,1008.0314964157707,71.15479390681004,206.9966397849462
lk_jaffna,11,26.50115740740741,15.563888888888888,5.1965625,83.7462962962963,1009.2070601851851,82.5738425925926,155.79097222222222
lk_jaffna,12,26.046617383512544,7.773118279569893,6.001559139784946,81.1619623655914,1010.3145161290322,66.7576164874552,175.872311827957
lk_matara,1,26.33801523297491,5.788709677419355,2.065600358422939,81.7829301075269,1010.2609991039426,68.23364695340501,219.2195340501792
lk_matara,2,27.2170335591133,2.3579844006568145,2.369752753831418,76.60871647509579,1010.4462660782705,57.256465517241374,259.3828851943076
lk_matara,3,27.40573476702509,3.582795698924731,2.328499103942652,80.48230286738351,1009.8792338709677,57.131048387096776,258.6081989247312
lk_matara,4,27.610763888888886,5.625555555555555,2.4713773148148146,83.90069444444444,1009.1221296296295,59.490509259259255,253.2050925925926
lk_matara,5,27.409520609318992,9.332258064516129,4.574177867383512,86.33579749103943,1008.0660170250895,81.88933691756272,218.36805555555554
lk_matara,6,27.047777777777778,5.4799999999999995,5.184692129629629,85.3425925925926,1008.5578935185185,79.70138888888889,229.84212962962965
lk_matara,7,26.918077956989247,5.006989247311828,5.358111559139785,84.66353046594982,1008.2951388888888,83.31586021505376,223.63396057347668
lk_matara,8,26.760618279569893,5.220430107526882,5.057318548387097,84.39000896057347,1008.988149641577,82.22871863799283,236.62186379928315
lk_matara,9,26.58826388888889,6.6305555555555555,4.843495370370371,85.40578703703704,1009.2452546296296,81.84375,227.28194444444443
lk_matara,10,26.500739247311827,7.502150537634409,3.9598431899641575,85.97244623655915,1009.5161066308243,79.97603046594982,214.32616487455198
lk_matara,11,26.310671296296295,10.531666666666668,2.728678240740741,86.24282407407406,1009.4256018518519,80.35856481481481,194.99675925925928
lk_matara,12,26.33210125448029,6.645161290322581,2.2414247311827955,84.60439068100358,1009.8246639784946,70.66935483870968,206.4820788530466
lk_trincomalee,1,25.757123655913983,6.3043010752688176,4.287293906810036,79.67114695340501,1010.8992159498208,67.0931899641577,191.78651433691758
lk_trincomalee,2,26.272986795292834,2.8215517241379313,4.3173056923918995,76.32159106458676,1011.1943606321839,53.02833367542419,236.1426176792556
lk_trincomalee,3,27.45293458781362,1.396236559139785,3.406444892473118,77.02956989247312,1009.7993055555556,52.92293906810036,260.36581541218635
lk_trincomalee,4,28.54828703703704,2.325555555555556,2.8436712962962964,77.41157407407407,1008.3501157407408,49.87708333333333,269.9789351851852
lk_trincomalee,5,29.0190188172043,2.3408602150537634,4.8168884408602155,75.64628136200717,1006.095564516129,72.63082437275986,242.8646953405018
lk_trincomalee,6,29.450995370370368,0.7077777777777778,5.949113425925926,68.94328703703702,1006.0839583333333,79.14004629629629,245.0675925925926
lk_trincomalee,7,29.21693548387097,1.1021505376344087,5.689697580645162,68.89964157706093,1005.8523521505376,81.98342293906809,232.36021505376345
lk_trincomalee,8,28.87945788530466,1.5661290322580645,5.098326612903226,69.67159498207886,1006.7078853046595,80.40098566308244,246.915770609319
lk_trincomalee,9,28.716898148148147,1.3494444444444447,5.568208333333334,70.13240740740741,1006.937361111111,77.65601851851852,239.63194444444446
lk_trincomalee,10,27.569332437275985,6.501075268817204,3.7928091397849464,77.81070788530467,1008.1457885304659,74.70206093189964,219.70945340501794
lk_trincomalee,11,26.24837962962963,15.274444444444446,3.5347824074074072,84.78888888888889,1008.9680787037037,80.51712962962962,171.86435185185186
lk_trincomalee,12,25.914874551971327,9.40537634408602,4.178817204301075,83.04032258064517,1009.9763664874553,71.0855734767025,173.01500896057348
