location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,hours,country,latitude,longitude,elevation_m,elevation_km
bt_chele_la,6,8.833472222222223,14.650000000000002,1.123861111111111,86.85694444444445,651.6566666666666,85.37222222222222,206.94583333333333,720,BT,27.3697,89.3461,3807.0,3.807
bt_chele_la,7,9.928897849462366,11.912903225806453,1.0815322580645161,89.3225806451613,652.2043010752689,93.25268817204301,183.53763440860214,744,BT,27.3697,89.3461,3807.0,3.807
bt_chele_la,8,9.803360215053763,8.954838709677421,1.0438575268817205,88.78494623655914,652.9990591397849,92.00940860215054,180.0188172043011,744,BT,27.3697,89.3461,3807.0,3.807
bt_paro,1,8.476478494623656,0.15483870967741936,0.8759811827956989,74.45161290322581,778.674193548387,32.166666666666664,160.0188172043011,744,BT,27.4287,89.4164,2269.0,2.269
bt_paro,2,9.239880952380952,0.7571428571428571,0.9014583333333333,75.99553571428571,778.4263392857143,46.01934523809524,184.3125,672,BT,27.4287,89.4164,2269.0,2.269
bt_paro,3,10.484274193548387,4.735483870967743,0.8781854838709677,87.02822580645162,777.824193548387,71.06586021505376,169.20564516129033,744,BT,27.4287,89.4164,2269.0,2.269
bt_paro,4,12.914722222222222,5.010000000000001,0.9341666666666667,84.60555555555555,777.9491666666667,72.15416666666667,189.45,720,BT,27.4287,89.4164,2269.0,2.269
bt_paro,5,14.844220430107528,6.980645161290323,0.8719623655913978,85.3024193548387,779.0256720430107,68.90860215053763,210.1465053763441,744,BT,27.4287,89.4164,2269.0,2.269
bt_paro,6,17.956666666666667,19.386666666666667,0.8585833333333333,86.52222222222223,779.2633333333333,79.89027777777778,180.89444444444445,720,BT,27.4287,89.4164,2269.0,2.269
bt_paro,7,19.000806451612902,17.325806451612905,0.7853225806451613,89.89112903225806,779.1739247311829,91.24193548387096,165.06317204301075,744,BT,27.4287,89.4164,2269.0,2.269
bt_paro,8,18.851747311827957,12.53225806451613,0.7661559139784946,89.59408602150538,780.0850806451614,91.875,167.60752688172042,744,BT,27.4287,89.4164,2269.0,2.269
bt_phuentsholing,1,16.47405913978495,0.0064516129032258064,0.9732930107526881,64.39650537634408,979.0693548387096,14.086021505376344,158.98387096774192,744,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,2,19.585565476190474,0.14285714285714285,0.9804166666666667,56.20238095238095,976.8943452380952,18.730654761904763,186.91666666666666,672,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,3,20.76532258064516,4.406451612903226,0.9867876344086021,70.89516129032258,974.6130376344086,51.111559139784944,159.56451612903226,744,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,4,22.814305555555556,5.8566666666666665,1.084513888888889,74.94027777777778,972.0872222222223,52.42777777777778,176.2125,720,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,5,23.88427419354839,6.7451612903225815,0.9400403225806452,81.50537634408602,971.2793010752689,59.498655913978496,188.00672043010752,744,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,6,25.367361111111112,22.84333333333333,0.7940972222222222,87.08194444444445,968.6243055555556,72.65277777777777,156.64305555555555,720,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,7,25.959811827956987,29.625806451612902,0.9878494623655915,89.0,967.1638440860215,90.40456989247312,152.15591397849462,744,BT,26.8516,89.3884,323.0,0.323
bt_phuentsholing,8,26.395833333333332,15.399999999999999,0.909516129032258,86.88575268817205,968.3065860215054,88.43145161290323,164.1008064516129,744,BT,26.8516,89.3884,323.0,0.323
bt_punakha,1,11.822849462365593,2.1806451612903226,0.9725940860215054,74.86155913978494,874.3279569892474,61.748655913978496,142.94758064516128,744,BT,27.591,89.8774,1289.0,1.289
bt_punakha,2,12.729613095238093,4.335714285714285,0.9452827380952381,76.11160714285714,874.0556547619047,66.58184523809524,166.65178571428572,672,BT,27.591,89.8774,1289.0,1.289
bt_punakha,3,14.654704301075268,8.641935483870967,0.891008064516129,83.49462365591398,873.1237903225806,80.9260752688172,153.3481182795699,744,BT,27.591,89.8774,1289.0,1.289
bt_punakha,4,17.325972222222223,7.476666666666667,0.885888888888889,83.51944444444445,872.4573611111111,83.16805555555555,179.09166666666667,720,BT,27.591,89.8774,1289.0,1.289
bt_punakha,5,19.218548387096774,7.909677419354837,0.8872983870967741,83.61827956989248,873.0325268817204,77.99462365591398,206.19489247311827,744,BT,27.591,89.8774,1289.0,1.289
bt_punakha,6,21.81597222222222,13.463333333333333,0.8598333333333333,85.54583333333333,871.8130555555556,85.27777777777777,180.0625,720,BT,27.591,89.8774,1289.0,1.289
bt_punakha,7,22.607258064516127,12.932258064516128,0.7397311827956989,88.76344086021506,871.5126344086021,92.50672043010752,167.40725806451613,744,BT,27.591,89.8774,1289.0,1.289
bt_punakha,8,22.54516129032258,12.848387096774195,0.7704435483870968,88.13575268817205,872.5954301075269,93.5524193548387,164.42607526881721,744,BT,27.591,89.8774,1289.0,1.289
bt_thimphu,1,5.7375,1.2225806451612904,1.0463709677419355,73.19489247311827,772.3266129032259,37.46639784946237,159.19623655913978,744,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,2,6.544494047619047,2.9642857142857144,0.9584970238095238,78.51190476190476,772.4096726190476,56.339285714285715,184.1577380952381,672,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,3,9.403091397849462,5.825806451612904,0.8989516129032259,84.96774193548387,772.9423387096774,74.95833333333333,173.2002688172043,744,BT,27.4728,89.6393,2316.0,2.316
