location_id,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,name,country_code,region,latitude,longitude,elevation_m,country,timezone,period_rainfall_mm
id_medan,26.53676470588235,6.677310924369748,1.1751365546218489,87.34768907563026,1010.6018907563025,Medan,ID,Southeast Asia,3.5952,98.6722,26.0,ID,UTC,794.6
in_anamudi,12.583368347338936,13.485714285714286,1.8643347338935574,90.34803921568627,1013.7448879551821,Anamudi,IN,South Asia,10.169,77.0606,2638.0,IN,UTC,1604.8
in_bengaluru,23.945553221288517,2.889075630252101,3.983932072829132,75.12535014005601,1010.1714985994398,Bengaluru,IN,South Asia,12.9716,77.5946,910.0,IN,UTC,343.8
in_chennai,31.03988095238095,1.4025210084033615,3.9814810924369746,64.69502801120449,1005.9186274509804,Chennai,IN,South Asia,13.0827,80.2707,12.0,IN,UTC,166.9
in_coimbatore,25.34481792717087,2.2294117647058824,4.065245098039216,78.16806722689076,1009.6048319327732,Coimbatore,IN,South Asia,11.0168,76.9558,431.0,IN,UTC,265.3
in_darjeeling,16.922408963585433,21.115126050420166,0.8029026610644258,89.70273109243698,1008.913550420168,Darjeeling,IN,South Asia,27.041,88.2663,2100.0,IN,UTC,2512.7
in_doddabetta,14.281967787114844,4.608403361344537,2.241137955182073,83.1890756302521,1012.0490896358543,Doddabetta,IN,South Asia,11.4016,76.7358,2592.0,IN,UTC,548.4
in_gangtok,19.347268907563024,23.45966386554622,0.7770098039215687,91.1733193277311,1007.9920868347339,Gangtok,IN,South Asia,27.3389,88.6065,1487.0,IN,UTC,2791.7
in_kanyakumari,26.648774509803925,2.0815126050420165,4.863014705882353,83.14110644257703,1009.4587535014007,Kanyakumari,IN,South Asia,8.0883,77.5385,33.0,IN,UTC,247.7
in_kochi,26.262394957983194,12.904201680672267,1.4546183473389356,88.40266106442577,1010.1712885154061,Kochi,IN,South Asia,9.9312,76.2673,6.0,IN,UTC,1535.6
in_kodaikanal,17.076785714285716,7.1042016806722685,1.5051085434173668,80.25280112044818,1011.3991246498599,Kodaikanal,IN,South Asia,10.2381,77.4892,2085.0,IN,UTC,845.4
in_lachen,13.425280112044819,28.463865546218486,0.7947864145658263,92.97128851540617,1011.5721988795518,Lachen,IN,South Asia,27.7287,88.5565,2567.0,IN,UTC,3387.2
in_madurai,30.68189775910364,1.3899159663865546,1.8241806722689073,56.580882352941174,1007.846043417367,Madurai,IN,South Asia,9.9252,78.1198,141.0,IN,UTC,165.4
in_munnar,20.01544117647059,10.378991596638654,1.8275875350140054,90.33228291316526,1012.4859243697479,Munnar,IN,South Asia,10.0889,77.0595,1461.0,IN,UTC,1235.1
in_mysuru,24.304411764705883,3.3554621848739496,4.118508403361345,78.18137254901961,1010.4377100840336,Mysuru,IN,South Asia,12.2958,76.6394,748.0,IN,UTC,399.3
in_nathu_la,6.267542016806723,17.094117647058823,1.0435399159663865,89.53816526610643,1013.1670168067227,Nathu La,IN,South Asia,27.3868,88.8308,4298.0,IN,UTC,2034.2
in_ooty,16.581967787114845,4.608403361344537,2.241137955182073,83.43242296918768,1012.0490896358543,Ooty,IN,South Asia,11.4102,76.695,2235.0,IN,UTC,548.4
in_shillong,21.09152661064426,15.892436974789916,1.4092366946778712,89.26680672268908,1007.5723039215686,Shillong,IN,South Asia,25.5788,91.8933,1436.0,IN,UTC,1891.2
in_tawang,13.14201680672269,10.694117647058823,0.8512570028011204,88.36064425770307,1012.0517156862744,Tawang,IN,South Asia,27.5861,91.8594,2922.0,IN,UTC,1272.6
in_thiruvananthapuram,25.858543417366946,7.925210084033614,4.387906162464986,87.76750700280112,1010.5488445378152,Thiruvananthapuram,IN,South Asia,8.5241,76.9366,12.0,IN,UTC,943.1
in_thoothukudi,29.846393557422967,1.1663865546218486,4.272706582633053,67.28746498599439,1008.0789915966386,Thoothukudi,IN,South Asia,8.7642,78.1348,3.0,IN,UTC,138.79999999999998
kh_bokor,21.53718487394958,9.063025210084033,2.428480392156863,88.7780112044818,1010.0811274509804,Bokor,KH,Southeast Asia,10.628,104.028,1013.0,KH,UTC,1078.5
kh_phnom_penh,28.782528011204484,4.891596638655463,2.6325035014005604,76.16841736694677,1008.5444677871149,Phnom Penh,KH,Southeast Asia,11.5564,104.9282,14.0,KH,UTC,582.1
kh_sen_monorom,23.83497899159664,8.394957983193278,3.085948879551821,87.51925770308122,1010.1391456582633,Sen Monorom,KH,Southeast Asia,12.4558,107.1881,682.0,KH,UTC,999.0
la_luang_prabang,26.6874649859944,9.005882352941176,1.3634733893557422,86.75280112044818,1007.2369397759104,Luang Prabang,LA,Southeast Asia,19.8833,102.1333,297.0,LA,UTC,1071.7
la_paksong,21.270868347338933,15.902521008403362,2.0619187675070028,89.63830532212886,1010.3683123249299,Paksong,LA,Southeast Asia,15.1817,106.23,1284.0,LA,UTC,1892.4
